artist,song,genre,label,language,llm_cost,llm_tokens,producers,songwriters
Ed Sheeran,Shape Of You,"Dancehall, R&B-infused Pop",Unknown,English,0.001798,1693,"Ed Sheeran, Steve Mac","Ed Sheeran, Steve Mac, Johnny McDaid, Kandi Burruss, Tameka 'Tiny' Cottle, Kevin 'She'kspere' Briggs"
Luis Fonsi & Daddy Yankee,Despacito,"Reggaeton, Latin Pop",Universal Music Latin Entertainment,Spanish,0.001732,1646,"Mauricio Rengifo, Andrés Torres","Luis Fonsi, Erika Ender, Daddy Yankee"
Ed Sheeran,Perfect,Pop,Asylum Records,English,0.007363000000000001,7253,"Ed Sheeran, Will Hicks",Ed Sheeran
Mark Ronson & Bruno Mars,Uptown Funk,"Funk-Pop, Soul, Boogie, Disco-Pop, Minneapolis Sound",Unknown,English,0.001745,1649,"Mark Ronson, Jeff Bhasker, Philip Lawrence","Mark Ronson, Bruno Mars, Jeff Bhasker, Philip Lawrence"
Pharrell Williams,Happy,"Soul, Neo Soul","Columbia Records, a division of Sony Music",English,0.00723,7114,Pharrell Williams,Pharrell Williams
Adele,Rolling In The Deep,"Dark Blues, Gospel, Disco",Unknown,English,0.0016870000000000001,1617,Unknown,"Adele, Paul Epworth"
LMFAO,Party Rock Anthem,"Electronic, Dance, Pop",Interscope Records,English,0.010257,10127,"GoonRock, Redfoo","GoonRock, Redfoo, Erin Beck"
Gotye & Kimbra,Somebody That I Used To Know,"Pop, Indie pop","Eleven Music, Universal Music",English,0.006761,6658,Gotye,Gotye
Ed Sheeran,Thinking Out Loud,"Pop, R&B",Atlantic Records,English,0.004071,3979,Jake Gosling,"Ed Sheeran, Amy Wadge"
Sia,Cheap Thrills,"Pop, Dance-pop",RCA Records,English,0.001258,1189,Greg Kurstin,"Sia, Greg Kurstin"
Lil Nas X & Billy Ray Cyrus,Old Town Road,Country Rap,"Columbia Records, Sony Music Entertainment",English,0.009924000000000002,9771,YoungKio,"Montero Hill, Trent Reznor, Atticus Ross, Kiowa Roukema, Michael Trent Reznor, Billy Ray Cyrus"
John Legend,All Of Me,"R&B, Soul",Columbia Records,English,0.007054,6943,"Dave Tozer, John Legend","John Legend, Toby Gad"
Camila Cabello & Young Thug,Havana,"Pop, R&B, Latin",Epic Records,"English, Spanish",0.004247000000000001,4039,"Frank Dukes, Matt Beckley, Kaan Gunesberk, Louis Bell","Camila Cabello, Young Thug, Ali Tamposi, Brian Lee, Andrew Watt, Pharrell Williams, Louis Bell, Kaan Gunesberk, Frank Dukes, Brittany Hazzard, Jeffery Lamar Williams, Adam Feeney, Andrew Wotman, Pharrell Williams, Louis Bell, Kaan Gunesberk, Frank Dukes, Brittany Hazzard, Jeffery Lamar Williams, Adam Feeney, Andrew Wotman"
Justin Timberlake,Can't Stop The Feeling,"Disco, Pop",Unknown,English,0.001708,1630,"Justin Timberlake, Max Martin, Shellback","Justin Timberlake, Max Martin, Shellback"
The Chainsmokers & Halsey,Closer,"Future Bass, Pop","Disruptor Records, Columbia Records",English,0.004039000000000001,3925,"The Chainsmokers, DJ Swivel","Andrew Taggart, Halsey, Shaun Frank, Freddy Kennett, Isaac Slade, Joe King"
Maroon 5 & Cardi B,Girls Like You,Pop,"222, Interscope",English,0.010341000000000001,10207,"Cirkut, Jason Evigan","Adam Levine, Starrah, Gian Stone, Cirkut, Jason Evigan"
Imagine Dragons,Radioactive,"Electronic Rock, Alternative Rock, Dubstep",Interscope Records,English,0.00167,1580,"Alex Da Kid, Imagine Dragons","Dan Reynolds, Wayne Sermon, Ben McKee, Josh Mosser, Alex Da Kid"
Avicii,Wake Me Up,"Electronic, Country","PRMD Music, Lava Records, Sony Music Entertainment's Columbia Records",English,0.010418,10271,Avicii,"Avicii, Mike Einziger, Aloe Blacc"
Carly Rae Jepsen,Call Me Maybe,"Teen Pop, Dance-Pop, Bubblegum Pop","604 Records, Schoolboy Records",English,0.016628,16451,"Josh Ramsay, Dallas Austin, Redfoo","Carly Rae Jepsen, Tavish Crowe"
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),"Hip Hop, Pop",Republic Records,English,0.016107000000000003,15931,"Carter Lang, Louis Bell","Austin Post, Khalif Brown, Billy Walsh, Carl Rosen, Carter Lang, Louis Bell"
"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,"R&B, Pop","Star Trak Recordings, Interscope Records",English,0.001549,1466,Pharrell Williams,"Robin Thicke, Pharrell Williams, Clifford Harris Jr."
Justin Bieber,Love Yourself,"Pop, R&B, Soul, EDM","Def Jam Recordings, School Boy Records",English,0.001765,1651,"Skrillex, Diplo, BloodPop, Benny Blanco, the Audibles, Soundz, Mike Dean, Ian Kirkpatrick, Andre Harris, Poo Bear","Justin Bieber, Ed Sheeran, Benjamin Levin"
"Drake, WizKid & Kyla",One Dance,"Dancehall, Afrobeats",Unknown,English,0.001765,1664,"Nineteen85, Noah '40' Shebib, Wizkid","Drake, WizKid, Kyla, Nineteen85, Noah '40' Shebib, Crazy Cousinz"
Billie Eilish,Bad Guy,"Electropop, Dance-pop, Trap-pop","Darkroom, Interscope Records",English,0.004141,4033,Finneas O'Connell,"Billie Eilish, Finneas O'Connell"
Post Malone & 21 Savage,Rockstar,"Hip Hop, Trap",Republic Records,English,0.001159,1077,"Louis Bell, Tank God","Post Malone, 21 Savage, Carl Rosen, Joey Bada$$"
OneRepublic,Counting Stars,Pop rock,Interscope Records,English,0.001721,1648,"Ryan Tedder, Noel Zancanella",Ryan Tedder
Major Lazer & DJ Snake,Lean On,"EDM, Electronic, Moombahton",Mad Decent,English,0.001372,1287,"Major Lazer, DJ Snake","MØ, Diplo, DJ Snake, Tchami, Jr Blender"
Adele,Someone Like You,"Soul, Pop",XL Recordings,English,0.001686,1611,"Adele, Greg Kurstin","Adele, Dan Wilson"
Justin Bieber,Sorry,"Dancehall Pop, Tropical House, Moombahton","Def Jam Recordings, School Boy Records",English,0.0017249999999999998,1630,"Skrillex, BloodPop","Justin Bieber, Julia Michaels, Justin Tranter, Skrillex, BloodPop"
Marshmello & Bastille,Happier,"Electronic, Pop",Astralwerks,English,0.00166,1579,Marshmello,"Marshmello, Dan Smith, Steve Mac"
Hozier,Take Me To Church,"Soul, Blues","Rubyworks Records, Columbia Records US, Island Records UK",English,0.001564,1489,Rob Kirwan,Hozier
Sia,Chandelier,"Electropop, R&B, Reggae",RCA Records,English,0.001318,1235,"Jesse Shatkin, Greg Kurstin","Sia, Jesse Shatkin"
The Chainsmokers & Daya,Don't Let Me Down,"EDM, Pop","Disruptor Records, Columbia Records",English,0.003405,3304,The Chainsmokers,"Andrew Taggart, Emily Warren, Scott Harris"
Lady Gaga & Bradley Cooper,Shallow,"Rock, Country, Folk-Pop",Interscope Records,English,0.013739000000000001,13579,"Lady Gaga, Benjamin Rice","Lady Gaga, Andrew Wyatt, Anthony Rossomando, Mark Ronson"
Halsey,Without Me,"Pop, R&B",Capitol Records,English,0.001791,1697,"Louis Bell, Dylan Bauld","Halsey, Brittany Amaradio, Amy Allen, Louis Bell, Justin Timberlake, Timbaland, Scott Storch"
Maroon 5 & Christina Aguilera,Moves Like Jagger,"Pop, Electropop, Disco","Interscope Records, 222 Records",English,0.003981,3876,"Benny Blanco, Shellback","Adam Levine, Ammar Malik, Benny Blanco, Shellback"
OMI,Cheerleader,"Reggae, Dancehall","Ultra Music, a part of Sony Music",English,0.001237,1145,"OMI, Clifton Dillon, Mark Bradford, Ryan Dillon","OMI, Clifton Dillon, Mark Bradford, Ryan Dillon"
Panic! At the Disco,High Hopes,"Pop, Rock","Fueled by Ramen, DCD2 Records",English,0.001848,1732,"Jake Sinclair, Jonas Jeberg, Jonny Coffer","Brendon Urie, Jenny Owen Youngs, Lauren Pritchard, Sam Hollander, William Lobban-Bean, Taylor Parks, Ilsey Juber"
Meghan Trainor,All About That Bass,"Bubblegum Pop, Doo-Wop, Hip Hop",Epic Records,English,0.001727,1647,Kevin Kadish,"Meghan Trainor, Kevin Kadish"
Sam Smith,Stay With Me,"Gospel, Soul",Capitol Records UK,English,0.0017250000000000002,1652,Unknown,"Sam Smith, James Napier, William Phillips"
Wiz Khalifa & Charlie Puth,See You Again,"Hip hop, Pop",Atlantic Records,English,0.0017070000000000002,1626,"DJ Frank E, Charlie Puth","Andrew Cedar, Justin Franks, Charlie Puth, Wiz Khalifa"
Rihanna & Calvin Harris,We Found Love,"Electro House, Dance-Pop, Techno, Europop","Def Jam, SRP",English,0.00169,1610,Calvin Harris,"Calvin Harris, N/A"
Drake,God's Plan,"Pop, Pop-Rap, Trap","Young Money, Cash Money",English,0.0017469999999999999,1655,"Cardo, Yung Exclusive, Boi-1da, Noah '40' Shebib","Drake, Brock Korsan"
Macklemore & Ryan Lewis,Thrift Shop,Hip Hop,"Independent record label with distribution by the Alternative Distribution Alliance (ADA), a Warner Music Group company",English,0.0014290000000000001,1320,Macklemore & Ryan Lewis,"Ben Haggerty, Ryan Lewis, Wanz, Bel Biv DeVoe, Michael L. Iii, Ricky M. L. Walters"
Twenty One Pilots,Stressed Out,"Alternative Hip Hop, Alternative Rock, Rap Rock",Fueled by Ramen,English,0.044729000000000005,44482,Mike Elizondo,Tyler Joseph
Taylor Swift,Shake It Off,Dance-pop,Big Machine Records,English,0.0016660000000000002,1599,"Max Martin, Shellback",Taylor Swift
Katy Perry,Dark Horse,"Trap, Hip Hop, Pop-Rap, Electropop",Capitol Records,English,0.001768,1664,"Max Martin, Cirkut, Dr. Luke","Katy Perry, Juicy J, Max Martin, Cirkut, Dr. Luke, Sarah Hudson"
Passenger,Let Her Go,Indie folk,"Nettwerk, Black Crow",English,0.00129,1213,"Mike Rosenberg (Passenger), Chris Vallejo",Mike Rosenberg (Passenger)
"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything,Club-Pop,"Polo Grounds Music, Mr. 305 Entertainment, J Records",English,0.007562000000000001,7446,Afrojack,"Pitbull, Ne-Yo, Afrojack"
Imagine Dragons,Thunder,"Pop, Rock","Interscope Records, Kidinakorner",English,0.0016929999999999998,1592,"Alex Da Kid, Jayson DeZuzio","Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Alex Da Kid, Jayson DeZuzio"
The Weeknd,The Hills,"R&B, Alternative R&B",Republic Records,English,0.0017360000000000001,1649,"Mano, Illangelo","Abel Tesfaye, Ahmad Balshe, Emmanuel Nickerson, Carlo Montagnese"
Ava Max,Sweet But Psycho,"Pop, Dance-pop, Electropop, Synth-pop",Atlantic Records,English,0.001755,1673,Cirkut,"Ava Max, Madison Love, Tix, Cook Classics"
Post Malone,Better Now,"Hip Hop, Pop, R&B, Trap",Republic Records,English,0.0017360000000000001,1653,"Louis Bell, Frank Dukes","Post Malone, Billy Walsh, Louis Bell, Frank Dukes"
"Cardi B, Bad Bunny & J Balvin",I Like It,"Latin Trap, Hip Hop",Atlantic Records,"Spanish, English",0.0018120000000000002,1709,"J. White Did It, Tainy, Craig Kallman, Invincible","Cardi B, Bad Bunny, J Balvin, Pardison Fontaine, Klenord Raphael"
The Chainsmokers & Coldplay,Something Just Like This,"EDM, Pop","Disruptor, Columbia",English,0.001412,1327,The Chainsmokers,"Andrew Taggart, Chris Martin, Guy Berryman, Jonny Buckland, Will Champion"
French Montana & Swae Lee,Unforgettable,"Hip hop, Pop","Epic Records, Bad Boy Records",English,0.001564,1454,"Jaegen, 1Mind, C.P Dubb","Karim Kharbouch, Khalif Brown, Ayodeji Balogun, Abubakar Akintoye, Rayshawn Bennett"
Shawn Mendes,Stitches,"Pop, Pop Rock","Island Records, Republic Records",English,0.007488,7349,"Teddy Geiger, Danny Parker, Daylight, and John Hill","Shawn Mendes, Teddy Geiger, Daniel Parker, and Daylight"
Travi$ Scott,Sicko Mode,"Hip-Hop, Trap",Epic Records,English,0.0019619999999999998,1762,"Travis Scott, Hit-Boy, OZ, Cubeatz, Rogét Chahayed, Tay Keith","Jacques Webster II, Aubrey Graham, Khalif Brown, Ozan Yildirim, Amir Esmailian, John Edward Hawkins, Chauncey Hollis, Cydel Young, Mirsad Dervic, Adam Feeney, Brytavious Lakeith Chambers, Brytavious Lakeith Chambers, John Edward Hawkins, Michael Dean, Christopher Wallace, O'Kelly Isley, Ronald Isley, Rudolph Isley, Ernie Isley, Marvin Isley, Chris Jasper, Luther Campbell, Harry Wayne Casey, Richard Finch"
